name,pl_orbper,pl_disc,new_rade,fpl_smax,new_insol
Kepler-1394 b,3.93766373,2016,1.39,NA,NA
Kepler-1395 b,3.78470649,2016,0.8,NA,NA
Kepler-1396 b,18.2206421,2016,2.07,NA,NA
Kepler-1397 b,47.449955,2016,1.72,NA,NA
Kepler-1398 b,2.78815679,2016,0.9,NA,NA
Kepler-1398 c,4.13827595,2016,1.03,NA,NA
Kepler-1399 b,1.63865306,2016,1.25,NA,NA
Kepler-14 b,6.790123,2011,12.733,0.0771,1058.9884998800512
Kepler-140 b,3.25427,2014,1.61,0.045,850.3054691288922
Kepler-140 c,91.353282,2014,1.8,0.414,10.046142121088048
Kepler-1400 b,9.06689421,2016,1.62,NA,NA
Kepler-1401 b,11.20066445,2016,1.68,NA,NA
Kepler-1402 b,2.03387914,2016,0.76,NA,NA
Kepler-1403 b,5.19492202,2016,2.14,NA,NA
Kepler-1404 b,15.9314739,2016,2.01,NA,NA
Kepler-1405 b,28.2274184,2016,3.96,NA,NA
Kepler-1406 b,11.62905828,2016,1.1,NA,NA
Kepler-1407 b,20.0711504,2016,2.25,NA,NA
Kepler-1408 b,2.99793191,2016,0.89,NA,NA
Kepler-1409 b,0.76486493,2016,1.04,NA,NA
Kepler-141 b,3.107675,2014,0.69,0.039,222.77722297120488
Kepler-141 c,7.010606,2014,1.41,0.067,75.48321589200323
Kepler-1410 b,60.866168,2016,1.78,0.2543,1.0747495690541047
Kepler-1411 b,86.1150888,2016,2.82,NA,NA
Kepler-1412 b,3.6146051,2016,0.83,NA,NA
Kepler-1413 b,13.1829642,2016,1.82,NA,NA
Kepler-1414 b,3.51576315,2016,1.23,NA,NA
Kepler-1415 b,0.63642408,2016,1.29,NA,NA
Kepler-1416 b,1.49514952,2016,0.88,NA,NA
Kepler-1417 b,20.3505213,2016,1,NA,NA
Kepler-1418 b,22.4764425,2016,1.66,NA,NA
Kepler-1419 b,42.5215895,2016,2.86,NA,NA
Kepler-142 b,2.024152,2014,1.99,0.032,1190.4195302000649
Kepler-142 c,4.761702,2014,2.86,0.057,375.18916556628693
Kepler-142 d,41.809118,2014,2.16,0.242,20.814657450393874
Kepler-1420 b,6.69960006,2016,1.28,NA,NA
Kepler-1421 b,6.9131112,2016,0.93,NA,NA
Kepler-1422 b,18.6051942,2016,2.02,NA,NA
Kepler-1423 b,23.955378,2016,1.06,NA,NA
Kepler-1424 b,29.6091744,2016,1.16,NA,NA
Kepler-1425 b,14.4541302,2016,0.94,NA,NA
Kepler-1426 b,14.2563227,2016,1.56,NA,NA
Kepler-1427 b,0.96897238,2016,1.1,NA,NA
Kepler-1428 b,10.67607169,2016,1.64,NA,NA
Kepler-1429 b,4.48487493,2016,1.29,NA,NA
Kepler-143 b,16.007583,2014,2.41,0.127,105.29131703526224
Kepler-143 c,27.082511,2014,3.37,0.181,51.837356993429516
Kepler-1430 b,2.46050993,2016,1.18,NA,NA
Kepler-1431 b,5.86601526,2016,1.47,NA,NA
Kepler-1432 b,23.9109011,2016,2.22,NA,NA
Kepler-1433 b,4.13592271,2016,1.56,NA,NA
Kepler-1434 b,8.05333618,2016,1.11,NA,NA
Kepler-1435 b,4.45343281,2016,0.86,NA,NA
Kepler-1436 b,9.705716,2016,1.31,NA,NA
Kepler-1437 b,10.9295461,2016,1.37,NA,NA
Kepler-1438 b,2.31942009,2016,0.94,NA,NA
Kepler-1439 b,8.07392849,2016,1.46,NA,NA
Kepler-144 b,5.885273,2014,1.33,0.066,423.557258764801
Kepler-144 c,10.104665,2014,1.35,0.094,208.80663413076883
Kepler-1440 b,39.859484,2016,1.26,NA,NA
Kepler-1441 b,39.4419839,2016,1.31,NA,NA
Kepler-1442 b,81.4162941,2016,3.93,NA,NA
Kepler-1443 b,2.41811321,2016,0.97,NA,NA
Kepler-1444 b,33.42035034,2016,2.18,NA,NA
Kepler-1445 b,10.60052251,2016,0.96,NA,NA
Kepler-1446 b,0.68996783,2016,0.82,NA,NA
Kepler-1447 b,56.6747285,2016,2.9,NA,NA
Kepler-1448 b,12.27065865,2016,1.61,NA,NA
Kepler-1449 b,13.2274528,2016,1.68,NA,NA
Kepler-145 b,22.951,2013,2.65,NA,NA
Kepler-145 c,42.882,2013,4.32,NA,NA
Kepler-1450 b,54.5094166,2016,1.71,NA,NA
Kepler-1451 b,35.622233,2016,3.35,NA,NA
Kepler-1452 b,42.913751,2016,2.7,NA,NA
Kepler-1453 b,47.1611696,2016,2.67,NA,NA
Kepler-1454 b,47.0319479,2016,1.88,NA,NA
Kepler-1455 b,49.276764,2016,2.16,0.2149,1.6924941218200111
Kepler-1456 b,18.1373829,2016,1.14,NA,NA
Kepler-1457 b,51.1110243,2016,1.99,NA,NA
Kepler-1458 b,47.9872764,2016,2.76,NA,NA
Kepler-1459 b,62.8691611,2016,1.36,NA,NA
Kepler-146 b,31.158799,2014,3.71,0.2,29.987482578734472
Kepler-146 c,76.732171,2014,3.13,0.364,9.053098230507931
Kepler-1460 b,29.9633247,2016,1.96,NA,NA
Kepler-1461 b,29.3494775,2016,2.03,NA,NA
Kepler-1462 b,65.6488341,2016,3.82,NA,NA
Kepler-1463 b,25.15864,2016,1.86,NA,NA
Kepler-1464 b,31.7785901,2016,1.66,NA,NA
Kepler-1464 c,5.32786292,2016,1,NA,NA
Kepler-1465 b,31.8277111,2016,1.77,NA,NA
Kepler-1466 b,31.1750448,2016,1.55,NA,NA
Kepler-1467 b,47.0569043,2016,3.3,NA,NA
Kepler-1468 b,8.23984869,2016,1.73,NA,NA
Kepler-1468 c,3.54553021,2016,1.15,NA,NA
Kepler-1469 b,21.8635301,2016,2.8,NA,NA
Kepler-147 b,12.610584,2014,1.53,0.113,184.0107150793568
Kepler-147 c,33.416423,2014,2.43,0.216,50.36078576921098
Kepler-1470 b,16.2950903,2016,1.07,NA,NA
Kepler-1471 b,3.63899398,2016,1.41,NA,NA
Kepler-1472 b,38.1312831,2016,1.9,NA,NA
Kepler-1473 b,14.4273551,2016,1.19,NA,NA
Kepler-1474 b,36.4333452,2016,2.16,NA,NA
Kepler-1475 b,82.177374,2016,2.92,NA,NA
Kepler-1476 b,10.35863224,2016,1.67,NA,NA
Kepler-1477 b,11.55530021,2016,1.18,NA,NA
Kepler-1478 b,26.0840594,2016,1.73,NA,NA
Kepler-1479 b,14.53261362,2016,1.83,NA,NA
Kepler-148 b,1.729366,2014,1.8,0.028,498.5215507556149
Kepler-148 c,4.180043,2014,3.6,0.05,156.33635831696083
Kepler-148 d,51.84688575,2016,8.68,NA,NA
Kepler-1480 b,22.12679948,2016,1.67,NA,NA
Kepler-1481 b,5.94220998,2016,1.23,NA,NA
Kepler-1482 b,12.25383217,2016,1.01,NA,NA
Kepler-1483 b,9.5085156,2016,1.52,NA,NA
Kepler-1484 b,30.4549136,2016,2.11,NA,NA
Kepler-1485 b,19.9157725,2016,1.47,NA,NA
Kepler-1486 b,54.6495759,2016,2.32,NA,NA
Kepler-1487 b,7.3194636300000004,2016,2.13,NA,NA
Kepler-1488 b,39.8189932,2016,1.86,NA,NA
Kepler-1489 b,82.294751,2016,1.77,NA,NA
Kepler-149 b,29.198943,2014,4.21,0.184,19.469928380326127
Kepler-149 c,55.328328,2014,1.61,0.281,8.348094568765863
Kepler-149 d,160.018032,2014,3.96,0.571,2.0217515442668907
Kepler-1490 b,92.4362973,2016,3.04,NA,NA
Kepler-1491 b,16.5861762,2016,1.51,NA,NA
Kepler-1492 b,16.75255007,2016,1.49,NA,NA
Kepler-1493 b,15.0217983,2016,1.41,NA,NA
Kepler-1494 b,91.080482,2016,3.07,NA,NA
Kepler-1495 b,85.273256,2016,2.94,NA,NA
Kepler-1496 b,64.6588017,2016,2.22,NA,NA
Kepler-1497 b,8.74199772,2016,1.66,NA,NA
Kepler-1498 b,48.051405,2016,1.33,NA,NA
Kepler-1499 b,44.2008,2016,1.19,NA,NA
Kepler-15 b,4.942782,2011,10.76,0.05714,250.6799087304527
Kepler-150 b,3.428054,2014,1.25,0.044,341.26727686342775
Kepler-150 c,7.381998,2014,3.69,0.073,123.98075586556504
Kepler-150 d,12.56093,2014,2.79,0.104,61.08482322555436
Kepler-150 e,30.826557,2014,3.12,0.189,18.495939307622855
Kepler-150 f,637.2093,2017,3.64,1.24,0.42969136837122535
Kepler-1500 b,15.0330105,2016,1.2,NA,NA
Kepler-1501 b,14.5564533,2016,1.56,NA,NA
Kepler-1502 b,41.7083629,2016,3.18,NA,NA
Kepler-1503 b,96.16987,2016,2.27,NA,NA
Kepler-1504 b,82.304003,2016,2.13,NA,NA
Kepler-1505 b,30.8609366,2016,0.93,NA,NA
Kepler-1506 b,14.0329154,2016,1.32,NA,NA
Kepler-1507 b,16.0506213,2016,0.84,NA,NA
Kepler-1508 b,20.7056504,2016,1.33,NA,NA
Kepler-1509 b,25.4338197,2016,1.85,NA,NA
Kepler-151 b,15.228958,2014,3.06,0.116,32.291187884332004
Kepler-151 c,24.674612,2014,2.09,0.16,16.973055631702014
Kepler-1510 b,84.703921,2016,3.36,NA,NA
Kepler-1511 b,23.2382792,2016,1.68,NA,NA
Kepler-1512 b,20.35972599,2016,1.18,0.1097,39.408213272482136
