name,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,dec,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,pl_cbflag,pl_eqt,pl_insol,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_msinie,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_imppar,pl_disc,pl_status,gaia_dist,st_spstr,st_logg,st_metfe,st_age,pl_locale,pl_facility,pl_telescope,pl_instrument,rowupdate,pl_masse,pl_Rforecast2,new_rade,fpl_rade
11 Com b,11 Com,b,Radial Velocity,1,326.03,1.29,0.05,-0.05,0.231,0,0,12h20m43.03s,+17d47m34.3s,185.179276,17.792868,93.37,4.74,V (Johnson),4.372,4742,100,-100,2.7,0.3,-0.3,19,2,-2,0,NA,NA,6165.6,476.7,-476.7,6165.6,NA,NA,NA,NA,NA,NA,2007,3,93.37,K0 III,2.31,-0.35,NA,Ground,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,2014-05-14,6165.6,14.481253152755059,14.481253152755059,12.1
11 UMi b,11 UMi,b,Radial Velocity,1,516.21997,1.53,0.07,-0.07,0.08,0,0,15h17m05.89s,+71d49m26.0s,229.274536,71.823898,125.72,5.016,V (Johnson),4.5,4213,46,-46,2.78,0.69,-0.69,29.79,2.84,-2.84,0,NA,NA,4684.8142,794.575,-794.575,4684.8142,NA,NA,NA,NA,NA,NA,2009,3,125.72,K4 III,1.93,-0.02,NA,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,2018-09-06,4684.8142,14.599755871486657,14.599755871486657,12.3
14 And b,14 And,b,Radial Velocity,1,185.84,0.83,NA,NA,0,0,0,23h31m17.42s,+39d14m10.3s,352.822571,39.236198,75.59,5.227,V (Johnson),4.872,4813,20,-20,2.2,0.1,-0.2,11,1,-1,0,NA,NA,1525.5,NA,NA,1525.5,NA,NA,NA,NA,NA,NA,2008,3,75.59,G8 III,2.63,-0.24,NA,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,2014-05-14,1525.5,15.81220436895868,15.81220436895868,12.9
14 Her b,14 Her,b,Radial Velocity,1,1773.40002,2.93,0.08,-0.08,0.37,0,0,16h10m24.31s,+43d49m03.5s,242.601303,43.817646,17.94,6.61,V (Johnson),6.379,5338,25,-25,0.9,0.04,-0.04,0.93,0.01,-0.01,0,NA,NA,1481.0878,47.6745,-47.6745,1481.0878,NA,NA,NA,NA,NA,NA,2002,3,17.94,K0 V,4.45,0.41,NA,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,2018-09-06,1481.0878,16.371095779058493,16.371095779058493,12.9
16 Cyg B b,16 Cyg B,b,Radial Velocity,1,798.5,1.66,0.03,-0.03,0.68,0,0,19h41m51.97s,+50d31m03.1s,295.466553,50.517525,21.15,6.25,V (Johnson),6.057,5750,8,-8,1.08,0.04,-0.04,1.13,0.01,-0.01,0,NA,NA,565.7374,25.4264,-25.4264,565.7374,NA,NA,NA,NA,NA,NA,1996,3,21.15,G2.5 V,4.36,0.06,NA,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,2018-09-06,565.7374,14.202629076418113,14.202629076418113,13.5
18 Del b,18 Del,b,Radial Velocity,1,993.3,2.6,NA,NA,0.08,0,0,20h58m25.94s,+10d50m21.4s,314.608063,10.839286,76.38,5.506,V (Johnson),5.244,4979,18,-18,2.3,NA,NA,8.5,NA,NA,0,NA,NA,3273.5,NA,NA,3273.5,NA,NA,NA,NA,NA,NA,2008,3,76.38,G6 III,2.82,-0.052,NA,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,2014-05-14,3273.5,16.06408947543688,16.06408947543688,12.5
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,Imaging,1,NA,330,NA,NA,NA,0,0,16h09m30.30s,-21d04m58.9s,242.376268,-21.083036,145,NA,NA,12.057,4060,300,-200,0.85,0.2,-0.1,NA,NA,NA,0,1700,NA,3000,300,-300,NA,NA,NA,NA,NA,NA,NA,2008,3,139.67,K7 V,NA,NA,0.005,Ground,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera,2015-04-01,3000,NA,18.647,18.647
24 Boo b,24 Boo,b,Radial Velocity,1,30.3506,0.19,0.012,-0.009,0.042,0,0,14h28m37.81s,+49d50m41.5s,217.157547,49.844852,96.25,5.58,V (Johnson),5.305,4893,15,-15,0.99,0.19,-0.13,10.64,0.84,-0.59,0,NA,NA,289.2253,41.3179,-31.783,289.2253,NA,NA,NA,NA,NA,NA,2018,3,96.25,G3 IV,2.42,-0.77,6.92,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,2018-04-26,289.2253,14.003418632942669,14.003418632942669,13.9
24 Sex b,24 Sex,b,Radial Velocity,2,452.8,1.333,0.004,-0.009,0.09,0,0,10h23m28.37s,-00d54m08.1s,155.86821,-0.902244,72.21,6.441,V (Johnson),6.198,5098,44,-44,1.54,0.08,-0.08,4.9,0.08,-0.08,0,NA,NA,632.46,82.63,-120.77,632.46,NA,NA,NA,NA,NA,NA,2010,3,72.21,K0 IV,3.5,-0.03,2.7,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,2014-05-14,632.46,12.730648178261424,12.730648178261424,13.4
24 Sex c,24 Sex,c,Radial Velocity,2,883,2.08,0.05,-0.02,0.29,0,0,10h23m28.37s,-00d54m08.1s,155.86821,-0.902244,72.21,6.441,V (Johnson),6.198,5098,44,-44,1.54,0.08,-0.08,4.9,0.08,-0.08,0,NA,NA,273.32,111.24,-69.92,273.32,NA,NA,NA,NA,NA,NA,2010,3,72.21,K0 IV,3.5,-0.03,2.7,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,2014-05-14,273.32,12.80164265653707,12.80164265653707,13.9
2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,Imaging,1,NA,52,6,-6,NA,0,0,01h22m50.94s,-24d39m50.6s,20.712243,-24.664049,36,14.24,V (Johnson),12.903,3530,50,-50,0.4,0.05,-0.05,NA,NA,NA,0,NA,NA,7786.5,794.5,-794.5,NA,NA,NA,NA,NA,NA,NA,2013,3,33.86,M3.5 V,NA,NA,0.12,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,2014-05-14,7786.5,NA,11.209,11.209
2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,Imaging,1,NA,156,10,-10,NA,0,0,02h19m22.11s,-39d25m22.5s,34.842106,-39.422928,39.4,NA,NA,15.012,3064,76,-76,0.11,0.01,-0.01,0.28,0.01,-0.01,0,NA,NA,4417.837,349.613,-349.613,NA,16.141,0.336,-0.336,NA,NA,NA,2015,3,40.09,M6,4.59,NA,0.035,Ground,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,SIMON Near-Infrared Spectroimager,2015-05-14,4417.837,NA,16.141,16.141
2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,Imaging,1,NA,15,NA,NA,NA,0,0,04h41m44.90s,+23d01m51.4s,70.437073,23.030941,140,NA,NA,18.967,NA,NA,NA,0.02,NA,NA,NA,NA,NA,0,NA,NA,2383.6,794.5,-794.5,NA,NA,NA,NA,NA,NA,NA,2010,3,120.42,M8.5,NA,NA,0.001,Space,Hubble Space Telescope,2.4 m Hubble Space Telescope,WFPC2 Camera,2014-05-14,2383.6,NA,12.6,12.6
2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,Imaging,1,NA,46,5,-5,NA,0,0,12h07m33.47s,-39d32m54.0s,181.889447,-39.548332,64.42,20.15,V (Johnson),17.408,NA,NA,NA,0.02,NA,NA,NA,NA,NA,0,1150,NA,1271,318,-318,NA,NA,NA,NA,NA,NA,NA,2004,3,64.42,M8,NA,NA,0.008,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,2014-05-14,1271,NA,13,13
2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,Eclipse Timing Variations,1,416,0.92,0.02,-0.02,NA,1,0,19h38m32.61s,+46d03m59.1s,294.635865,46.066418,400.77,12.264,Kepler-band,12.138,NA,NA,NA,0.48,0.03,-0.03,NA,NA,NA,1,NA,NA,603.877,31.783,-31.783,NA,NA,NA,NA,NA,NA,NA,2015,3,400.77,NA,NA,NA,NA,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2015-06-04,603.877,NA,13.4,13.4
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,b,Imaging,1,7336.5,NA,NA,NA,0.26,0,0,21h40m29.32s,+16d25m18.3s,325.122159,16.421759,25,NA,NA,17.396,2300,80,-80,0.08,0.06,-0.06,0.12,0.05,-0.04,0,2075,NA,6657.48,26629.91,-6657.48,NA,10.31,4.37,-4.04,NA,NA,NA,2009,3,33.12,M8.5,NA,NA,NA,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,2014-05-14,6657.48,NA,10.31,10.31
2MASS J22362452+4751425 b,2MASS J22362452+4751425,b,Imaging,1,NA,230,20,-20,NA,0,0,22h36m24.53s,+47d51m42.6s,339.102203,47.86182,74,12.51,V (Johnson),11.948,4045,35,-35,0.6,0.05,-0.05,NA,NA,NA,0,NA,NA,3972.875,476.745,-476.745,NA,NA,NA,NA,NA,NA,NA,2016,3,69.71,K7 V,NA,NA,0.12,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,2016-11-10,3972.875,NA,12.3,12.3
30 Ari B b,30 Ari B,b,Radial Velocity,1,335.10001,0.99,0.02,-0.02,0.29,0,0,02h36m57.74s,+24d38m53.0s,39.240585,24.648064,44.71,6.962,V (Johnson),6.961,6331,61,-61,1.93,0.27,-0.27,1.41,0.05,-0.05,0,NA,NA,4392.4106,572.094,-572.094,4392.4106,NA,NA,NA,NA,NA,NA,2009,3,44.71,F6 V,4.43,0.19,NA,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,2018-09-06,4392.4106,10.161890404989734,10.161890404989734,12.3
4 UMa b,4 UMa,b,Radial Velocity,1,269.3,0.87,0.04,-0.04,0.432,0,0,08h40m12.82s,+64d19m40.6s,130.053406,64.327934,73.58,4.61,V (Johnson),4.16,4415,70,-70,1.23,0.15,-0.15,18.11,1.47,-1.47,0,NA,NA,2256.5,508.5,-508.5,2256.5,NA,NA,NA,NA,NA,NA,2006,3,73.58,K1 III,1.8,-0.25,4.604,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,2014-05-14,2256.5,15.898212214064788,15.898212214064788,12.7
42 Dra b,42 Dra,b,Radial Velocity,1,479.1,1.19,0.01,-0.01,0.38,0,0,18h25m59.14s,+65d33m48.5s,276.496399,65.563484,90.86,4.82,V (Johnson),4.364,4200,70,-70,0.98,0.05,-0.05,22.03,1,-1,0,NA,NA,1233.13,270.14,-270.14,1233.13,NA,NA,NA,NA,NA,NA,2008,3,90.86,K1.5 III,1.71,-0.46,9.49,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,2014-05-14,1233.13,13.780047285625278,13.780047285625278,13
47 UMa b,47 UMa,b,Radial Velocity,3,1078,2.1,0.02,-0.02,0.032,0,0,10h59m27.97s,+40d25m48.9s,164.866562,40.430256,13.8,5.05,V (Johnson),4.831,5892,70,-70,1.03,0.05,-0.05,1.23,NA,NA,0,NA,NA,804.08,22.25,-19.07,804.08,NA,NA,NA,NA,NA,NA,1996,3,13.8,G0 V,4.27,0,7.3,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,2014-05-14,804.08,13.845308869464457,13.845308869464457,13.2
47 UMa c,47 UMa,c,Radial Velocity,3,2391,3.6,0.1,-0.1,0.098,0,0,10h59m27.97s,+40d25m48.9s,164.866562,40.430256,13.8,5.05,V (Johnson),4.831,5892,70,-70,1.03,0.05,-0.05,1.23,NA,NA,0,NA,NA,171.621,20.976,-23.201,171.621,NA,NA,NA,NA,NA,NA,2001,3,13.8,G0 V,4.27,0,7.3,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,2014-05-14,171.621,16.277521936625433,16.277521936625433,14.2
47 UMa d,47 UMa,d,Radial Velocity,3,14002,11.6,2.1,-2.9,0.16,0,0,10h59m27.97s,+40d25m48.9s,164.866562,40.430256,13.8,5.05,V (Johnson),4.831,5892,70,-70,1.03,0.05,-0.05,1.23,NA,NA,0,NA,NA,521.22,92.17,-152.55,521.22,NA,NA,NA,NA,NA,NA,2009,3,13.8,G0 V,4.27,0,7.3,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,2014-05-14,521.22,11.32518168565587,11.32518168565587,13.5
51 Eri b,51 Eri,b,Imaging,1,NA,13.2,0.2,-0.2,NA,0,0,04h37m36.13s,-02d28m24.8s,69.400551,-2.473548,29.4,5.23,V (Johnson),5.122,NA,NA,NA,1.75,0.05,-0.05,NA,NA,NA,0,700,NA,635.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,3,29.78,F0 IV,NA,-0.027,0.02,Ground,Gemini Observatory,8.19 m Gemini South Telescope,Gemini Planet Imager,2015-08-14,635.66,NA,13.4,13.4
51 Peg b,51 Peg,b,Radial Velocity,1,4.230785,0.0527,0.003,-0.003,0.013,0,0,22h57m27.98s,+20d46m07.8s,344.366577,20.768833,15.47,5.5,V (Johnson),5.256,5793,70,-70,1.12,0.06,-0.06,1.2,NA,NA,0,NA,NA,150.009,12.395,-12.395,150.009,NA,NA,NA,NA,NA,NA,1995,3,15.47,G2.5 IV,4.33,0.2,4,Ground,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph,2014-05-14,150.009,11.790545980135283,11.790545980135283,14.3
55 Cnc b,55 Cnc,b,Radial Velocity,5,14.65152,0.115227,1e-6,-1e-6,0.0034,0,0,08h52m35.81s,+28d19m50.9s,133.149216,28.330818,12.59,5.96,V (Johnson),5.714,5196,24,-24,0.91,0.01,-0.01,0.94,0.01,-0.01,0,NA,NA,263.9785,1.0488,-1.0488,NA,NA,NA,NA,NA,NA,NA,1996,3,12.59,G8 V,4.45,0.31,10.2,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,2014-10-29,263.9785,15.461966424944235,15.461966424944235,13.9
55 Cnc c,55 Cnc,c,Radial Velocity,5,44.4175,0.241376,2.6e-5,-2.6e-5,0.02,0,0,08h52m35.81s,+28d19m50.9s,133.149216,28.330818,12.59,5.96,V (Johnson),5.714,5196,24,-24,0.91,0.01,-0.01,0.94,0.01,-0.01,0,NA,NA,54.4738,1.748,-1.748,NA,NA,NA,NA,NA,NA,NA,2004,3,12.59,G8 V,4.45,0.31,10.2,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,2014-10-29,54.4738,9.080855453652704,9.080855453652704,8.51
55 Cnc d,55 Cnc,d,Radial Velocity,5,4825,5.503,0.03,-0.03,0.019,0,0,08h52m35.81s,+28d19m50.9s,133.149216,28.330818,12.59,5.96,V (Johnson),5.714,5196,24,-24,0.91,0.01,-0.01,0.94,0.01,-0.01,0,NA,NA,1232.493,21.612,-21.612,NA,NA,NA,NA,NA,NA,NA,2002,3,12.59,G8 V,4.45,0.31,10.2,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,2014-10-29,1232.493,11.079630368130966,11.079630368130966,13
55 Cnc e,55 Cnc,e,Radial Velocity,5,0.736539,0.01544,9e-5,-9e-5,NA,0,0,08h52m35.81s,+28d19m50.9s,133.149216,28.330818,12.59,5.96,V (Johnson),5.714,5196,24,-24,0.91,0.01,-0.01,0.94,0.01,-0.01,0,NA,NA,8.08,0.31,-0.31,NA,1.91,0.08,-0.08,NA,NA,0.41,2004,3,12.59,G8 V,4.45,0.31,10.2,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,2019-01-31,8.08,3.0306961327084094,1.91,1.91
55 Cnc f,55 Cnc,f,Radial Velocity,5,262,0.788,0.001,-0.001,0.305,0,0,08h52m35.81s,+28d19m50.9s,133.149216,28.330818,12.59,5.96,V (Johnson),5.714,5196,24,-24,0.91,0.01,-0.01,0.94,0.01,-0.01,0,NA,NA,44.812,3.814,-3.814,NA,NA,NA,NA,NA,NA,NA,2007,3,12.59,G8 V,4.45,0.31,10.2,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,2014-10-29,44.812,7.469404375925129,7.469404375925129,7.59
6 Lyn b,6 Lyn,b,Radial Velocity,1,934.3,2.11,0.11,-0.11,0.073,0,0,06h30m47.11s,+58d09m45.5s,97.696281,58.162632,54.74,5.86,V (Johnson),5.588,4938,NA,NA,1.44,NA,NA,5.2,NA,NA,0,NA,NA,638.8383,24.47291,-24.47291,638.8383,NA,NA,NA,NA,NA,NA,2008,3,54.74,K0 III-IV,3.19,NA,NA,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,2018-12-06,638.8383,13.09258648834356,13.09258648834356,13.4
61 Vir b,61 Vir,b,Radial Velocity,3,4.215,0.050201,5e-6,-5e-6,0.12,0,0,13h18m24.32s,-18d18m40.3s,199.601318,-18.311195,8.51,4.74,V (Johnson),4.477,5577,33,-33,0.94,0.03,-0.03,0.96,0.01,-0.01,0,NA,NA,5.1,0.5,-0.5,5.1,NA,NA,NA,NA,NA,NA,2009,3,8.51,G5 V,4.34,-0.01,8.96,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,2014-05-14,5.1,2.2832691325902443,2.2832691325902443,2.11
61 Vir c,61 Vir,c,Radial Velocity,3,38.021,0.2175,1e-4,-1e-4,0.14,0,0,13h18m24.32s,-18d18m40.3s,199.601318,-18.311195,8.51,4.74,V (Johnson),4.477,5577,33,-33,0.94,0.03,-0.03,0.96,0.01,-0.01,0,NA,NA,18.2,1.1,-1.1,18.2,NA,NA,NA,NA,NA,NA,2009,3,8.51,G5 V,4.34,-0.01,8.96,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,2014-05-14,18.2,6.105839619239122,6.105839619239122,4.46
61 Vir d,61 Vir,d,Radial Velocity,3,123.01,0.476,0.001,-0.001,0.35,0,0,13h18m24.32s,-18d18m40.3s,199.601318,-18.311195,8.51,4.74,V (Johnson),4.477,5577,33,-33,0.94,0.03,-0.03,0.96,0.01,-0.01,0,NA,NA,22.9,2.6,-2.6,22.9,NA,NA,NA,NA,NA,NA,2009,3,8.51,G5 V,4.34,-0.01,8.96,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,2014-05-14,22.9,4.9615561866671145,4.9615561866671145,5.11
7 CMa b,7 CMa,b,Radial Velocity,1,796,1.93,0.01,-0.01,0.22,0,0,06h36m41.04s,-19d15m21.2s,99.17099,-19.255878,19.82,3.92,V (Johnson),3.578,4792,100,-100,1.52,0.3,-0.3,2.3,0.1,-0.1,0,NA,NA,781.8618,44.4962,-44.4962,781.8618,NA,NA,NA,NA,NA,NA,2011,3,19.82,K1 III,3.25,0.21,NA,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,2015-10-22,781.8618,10.297820510112064,10.297820510112064,13.3
70 Vir b,70 Vir,b,Radial Velocity,1,116.688,0.481,0.022,-0.022,0.3988,0,0,13h28m25.81s,+13d46m43.6s,202.107544,13.778788,17.91,4.97,V (Johnson),4.709,5495,NA,NA,1.09,NA,NA,1.89,NA,NA,0,NA,NA,2357.02728,18.11631,-18.11631,2357.02728,NA,NA,NA,NA,NA,NA,1996,3,17.91,G4 V,3.95,NA,NA,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,2018-12-06,2357.02728,13.695184840467585,13.695184840467585,12.6
75 Cet b,75 Cet,b,Radial Velocity,1,691.9,2.1,NA,NA,0.117,0,0,02h32m09.42s,-01d02m05.6s,38.039253,-1.034896,83.15,5.35,V (Johnson),5.055,4846,18,-18,2.49,0.02,-0.27,10.5,1,-1,0,NA,NA,953.49,NA,NA,953.49,NA,NA,NA,NA,NA,NA,2012,3,83.15,G3 III,2.63,0,NA,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,2015-09-03,953.49,16.272456193901753,16.272456193901753,13.1
8 UMi b,8 UMi,b,Radial Velocity,1,93.4,0.49,0.02,-0.02,0.06,0,0,14h56m48.35s,+74d54m03.3s,224.201477,74.900925,163.32,6.83,V (Johnson),6.559,4847,7,-7,1.44,0.19,-0.19,10.3,0.57,-0.57,0,NA,NA,416.3573,50.8528,-50.8528,416.3573,NA,NA,NA,NA,NA,NA,2015,3,163.32,K0,2.57,-0.03,NA,Ground,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,BOES Echelle Spectrograph,2018-09-06,416.3573,9.986421133773684,9.986421133773684,13.6
81 Cet b,81 Cet,b,Radial Velocity,1,952.7,2.5,NA,NA,0.206,0,0,02h37m41.80s,-03d23m46.2s,39.424168,-3.396175,101.53,5.65,V (Johnson),5.349,4785,25,-25,2.4,0.1,-0.4,11,2,-1,0,NA,NA,1684.4,NA,NA,1684.4,NA,NA,NA,NA,NA,NA,2008,3,101.53,G5 III,2.35,-0.06,NA,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,2014-05-14,1684.4,16.745308285041315,16.745308285041315,12.8
91 Aqr b,91 Aqr,b,Radial Velocity,1,181.4,0.7,NA,NA,0.027,0,0,23h15m53.50s,-09d05m15.9s,348.9729,-9.087737,44.08,4.25,V (Johnson),3.863,4665,18,-18,1.4,0.1,-0.1,11,0.1,-0.1,0,NA,NA,1017,NA,NA,1017,NA,NA,NA,NA,NA,NA,2013,3,44.08,K0 III,2.52,-0.03,3.56,Ground,Lick Observatory,0.6 m Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,2014-05-14,1017,14.124688039539954,14.124688039539954,13.1
AB Pic b,AB Pic,b,Imaging,1,NA,260,NA,NA,NA,0,0,06h19m12.91s,-58d03m15.5s,94.803802,-58.05431,50.12,9.128,V (Johnson),8.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,4290.5,158.9,-158.9,NA,NA,NA,NA,NA,NA,NA,2005,3,50.12,K2 V,NA,NA,0.03,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,2014-05-14,4290.5,NA,12.3,12.3
alf Ari b,alf Ari,b,Radial Velocity,1,380.8,1.2,NA,NA,0.25,0,0,02h07m10.41s,+23d27m44.7s,31.793364,23.462423,20.21,2,V (Johnson),NA,4553,15,NA,1.5,0.2,NA,13.9,0.3,NA,0,NA,NA,572.07,63.563,-63.563,572.07,NA,NA,NA,NA,NA,NA,2010,3,NA,K1 IIIb,NA,NA,NA,Ground,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,BOES Echelle Spectrograph,2019-01-31,572.07,11.339988012211519,11.339988012211519,13.4
alf Tau b,alf Tau,b,Radial Velocity,1,628.96,1.46,0.27,-0.27,0.1,0,0,04h35m55.24s,+16d30m33.5s,68.980164,16.509302,20.43,0.85,V (Johnson),NA,4055,70,-70,1.13,0.11,-0.11,45.1,0.1,-0.1,0,NA,NA,2056.3601,168.4499,-168.4499,2056.3601,NA,NA,NA,NA,NA,NA,2015,3,NA,K5 III,1.2,-0.27,6.6,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,2015-06-04,2056.3601,11.720991916968856,11.720991916968856,12.7
BD-06 1339 b,BD-06 1339,b,Radial Velocity,2,3.8728,0.0428,7e-4,-7e-4,0,0,0,05h53m00.28s,-05d59m41.4s,88.251183,-5.994844,20.28,9.7,V (Johnson),9.107,4324,100,-100,0.7,NA,NA,NA,NA,NA,0,NA,NA,8.5,1.3,-1.3,8.5,NA,NA,NA,NA,NA,NA,2013,3,20.28,K7/M0 V,4.74,-0.14,4.4,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,2014-05-14,8.5,3.32047362035721,3.32047362035721,2.85
BD-06 1339 c,BD-06 1339,c,Radial Velocity,2,125.94,0.435,0.007,-0.007,0.31,0,0,05h53m00.28s,-05d59m41.4s,88.251183,-5.994844,20.28,9.7,V (Johnson),9.107,4324,100,-100,0.7,NA,NA,NA,NA,NA,0,NA,NA,53,8,-8,53,NA,NA,NA,NA,NA,NA,2013,3,20.28,K7/M0 V,4.74,-0.14,4.4,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,2014-05-14,53,5.676458804279992,5.676458804279992,8.38
BD-08 2823 b,BD-08 2823,b,Radial Velocity,2,5.6,0.06,0,0,0.15,0,0,10h00m47.72s,-09d31m00.0s,150.198837,-9.51668,41.38,9.88,V (Johnson),9.503,4816,114,-114,0.5,0.26,-0.26,0.71,0.04,-0.04,0,NA,NA,12.7132,3.1783,-3.1783,12.7132,NA,NA,NA,NA,NA,NA,2009,3,41.38,K3 V,4.43,-0.06,NA,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,2018-09-06,12.7132,4.096570643500528,4.096570643500528,3.61
BD-08 2823 c,BD-08 2823,c,Radial Velocity,2,237.6,0.68,0.02,-0.02,0.19,0,0,10h00m47.72s,-09d31m00.0s,150.198837,-9.51668,41.38,9.88,V (Johnson),9.503,4816,114,-114,0.5,0.26,-0.26,0.71,0.04,-0.04,0,NA,NA,104,10,-10,104,NA,NA,NA,NA,NA,NA,2009,3,41.38,K3 V,4.43,-0.06,NA,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,2014-05-14,104,9.503601681734903,9.503601681734903,12.5
BD-10 3166 b,BD-10 3166,b,Radial Velocity,1,3.48777,0.04,0,0,0.02,0,0,10h58m28.80s,-10d46m13.4s,164.620003,-10.770376,84.61,10.08,V (Johnson),9.84,5393,44,-44,1.47,0.24,-0.24,0.91,0.04,-0.04,0,NA,NA,187.5197,22.2481,-22.2481,187.5197,NA,NA,NA,NA,NA,NA,2000,3,84.61,K0 V,4.69,0.38,NA,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,2018-09-06,187.5197,13.163055501432886,13.163055501432886,14.1
BD-11 4672 b,BD-11 4672,b,Radial Velocity,1,1667,2.28,0.07,-0.07,0.05,0,0,18h33m28.84s,-11d38m09.7s,278.370148,-11.636039,27.3,9.99,V (Johnson),9.485,4475,100,-100,0.57,0.01,-0.01,0.52,0.02,-0.02,0,NA,NA,168.44,15.89,-15.89,168.44,NA,NA,NA,NA,NA,NA,2014,3,27.19,K7 V,4.1,-0.48,4.4,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,2015-01-08,168.44,11.051820501640252,11.051820501640252,14.2
