name,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,dec,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,pl_cbflag,pl_eqt,pl_insol,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_msinie,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_imppar,pl_disc,pl_status,gaia_dist,st_spstr,st_logg,st_metfe,st_age,pl_locale,pl_facility,pl_telescope,pl_instrument,rowupdate,pl_masse,pl_Rforecast2,new_rade,fpl_rade
K2-72 c,K2-72,c,Transit,4,15.189034,0.078,0.007,-0.01,0.11,0,1,22h18m29.27s,-09d36m44.6s,334.621979,-9.612382,66.56,15.309,V (Johnson),14.279,3360.47,87.24,-86.34,0.27,0.08,-0.09,0.33,0.03,-0.03,0,NA,2.2,NA,NA,NA,NA,1.16,0.13,-0.13,NA,NA,NA,2016,3,66.56,NA,NA,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2017-10-26,NA,NA,1.16,1.16
K2-72 d,K2-72,d,Transit,4,7.760178,0.05,0.004,-0.006,0.11,0,1,22h18m29.27s,-09d36m44.6s,334.621979,-9.612382,66.56,15.309,V (Johnson),14.279,3360.47,87.24,-86.34,0.27,0.08,-0.09,0.33,0.03,-0.03,0,NA,5.4,NA,NA,NA,NA,1.01,0.12,-0.12,NA,NA,NA,2016,3,66.56,NA,NA,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2017-10-26,NA,NA,1.01,1.01
K2-72 e,K2-72,e,Transit,4,24.158868,0.106,0.009,-0.013,0.11,0,1,22h18m29.27s,-09d36m44.6s,334.621979,-9.612382,66.56,15.309,V (Johnson),14.279,3360.47,87.24,-86.34,0.27,0.08,-0.09,0.33,0.03,-0.03,0,NA,1.2,NA,NA,NA,NA,1.29,0.14,-0.13,NA,NA,NA,2016,3,66.56,NA,NA,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2017-10-26,NA,NA,1.29,1.29
K2-73 b,K2-73,b,Transit,1,7.49543,0.07619,7.2e-4,-7.2e-4,NA,0,1,22h20m06.12s,-09d03m21.9s,335.025482,-9.056093,271.27,11.345,V (Johnson),11.715,5922,76,-76,1.05,0.03,-0.03,1.06,0.07,-0.07,0,NA,213,NA,NA,NA,NA,2.45,0.21,-0.21,NA,0.1508333,NA,2016,3,271.27,NA,4.41,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2016-07-18,NA,NA,2.45,2.45
K2-74 b,K2-74,b,Transit,1,19.5666,0.1402,0.0015,-0.0015,NA,0,1,22h39m40.64s,-08d42m52.2s,339.919342,-8.714505,381.85,12.588,V (Johnson),12.436,6060,86,-86,0.96,0.03,-0.03,0.98,0.06,-0.06,0,NA,59.1,NA,NA,NA,NA,2.31,0.19,-0.19,NA,0.2133333,NA,2016,3,381.85,NA,4.44,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2016-07-18,NA,NA,2.31,2.31
K2-75 b,K2-75,b,Transit,2,7.8142,0.081,0.0014,-0.0014,NA,0,1,22h35m22.76s,-07d28m11.5s,338.844849,-7.469853,570.86,12.701,V (Johnson),12.589,5995,94,-94,1.16,0.06,-0.06,1.56,0.15,-0.15,0,NA,430,NA,NA,NA,NA,2.67,0.32,-0.32,NA,0.2283333,NA,2016,3,570.86,NA,4.12,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2016-07-18,NA,NA,2.67,2.67
K2-75 c,K2-75,c,Transit,2,18.311,0.1429,0.0025,-0.0025,NA,0,1,22h35m22.76s,-07d28m11.5s,338.844849,-7.469853,570.86,12.701,V (Johnson),12.589,5995,94,-94,1.16,0.06,-0.06,1.56,0.15,-0.15,0,NA,138,NA,NA,NA,NA,2.77,0.38,-0.38,NA,0.2675,NA,2016,3,570.86,NA,4.12,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2016-07-18,NA,NA,2.77,2.77
K2-77 b,K2-77,b,Transit,1,8.199796,NA,NA,NA,0.14,0,1,03h40m54.82s,+12d34m21.4s,55.228428,12.572612,142.31,12.158,V (Johnson),11.92,4970,45,-45,0.8,0.12,-0.12,0.76,0.03,-0.03,0,NA,58,603.877,NA,NA,NA,2.3,0.16,-0.16,NA,0.1,0.46,2016,3,142.31,NA,4.47,0.29,0.85,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2016-09-29,603.877,NA,2.3,2.3
K2-79 b,K2-79,b,Transit,1,10.99573,0.0987,0.0012,-0.0012,NA,0,1,03h41m01.42s,+13d31m09.7s,55.255905,13.519372,257.9,12.075,V (Johnson),11.803,5926,86,-86,1.06,0.04,-0.04,1.28,0.12,-0.12,0,NA,186,NA,NA,NA,NA,3.69,0.39,-0.39,NA,0.1841667,NA,2016,3,257.9,NA,4.25,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2016-07-18,NA,NA,3.69,3.69
K2-8 b,K2-8,b,Transit,2,10.35239,0.0856,0.0014,-0.0014,NA,0,1,11h19m10.48s,-00d17m03.8s,169.793671,-0.284375,407.93,14.61,V (Johnson),14.336,4870,60,-60,0.78,0.04,-0.04,0.74,0.04,-0.04,0,631,37.7,NA,NA,NA,NA,3.58,0.71,-0.71,NA,0.1400833,0.88,2015,3,407.93,K3 V,4.52,-0.02,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2016-07-07,NA,NA,3.58,3.58
K2-8 c,K2-8,c,Transit,2,5.06416,0.0532,9e-4,-9e-4,NA,0,1,11h19m10.48s,-00d17m03.8s,169.793671,-0.284375,407.93,14.61,V (Johnson),14.336,4870,60,-60,0.78,0.04,-0.04,0.74,0.04,-0.04,0,801,97.8,NA,NA,NA,NA,2.41,0.33,-0.33,NA,0.0866667,0.78,2016,3,407.93,K3 V,4.52,-0.02,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2016-07-07,NA,NA,2.41,2.41
K2-80 b,K2-80,b,Transit,3,19.0918,0.135,0.004,-0.004,NA,0,1,03h56m09.00s,+13d33m33.4s,59.037487,13.559289,201.96,12.626,V (Johnson),12.377,5441,249,-249,0.9,0.08,-0.08,0.87,0.1,-0.1,0,NA,32.5,NA,NA,NA,NA,2.01,0.3,-0.3,NA,0.1858333,NA,2016,3,201.96,NA,4.52,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2016-07-18,NA,NA,2.01,2.01
K2-80 c,K2-80,c,Transit,3,5.605,0.0596,0.0018,-0.0018,NA,0,1,03h56m09.00s,+13d33m33.4s,59.037487,13.559289,201.96,12.626,V (Johnson),12.377,5441,249,-249,0.9,0.08,-0.08,0.87,0.1,-0.1,0,NA,166,NA,NA,NA,NA,1.47,0.23,-0.23,NA,0.1116667,NA,2016,3,201.96,NA,4.52,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2016-07-18,NA,NA,1.47,1.47
K2-80 d,K2-80,d,Transit,3,28.867253,NA,NA,NA,NA,0,1,03h56m09.00s,+13d33m33.4s,59.037487,13.559289,201.96,12.626,V (Johnson),12.377,5441,249,-249,0.9,0.08,-0.08,0.87,0.1,-0.1,0,NA,NA,NA,NA,NA,NA,2.552,0.276,-0.14,NA,NA,NA,2018,3,201.96,NA,4.52,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2018-02-15,NA,NA,2.552,2.552
K2-81 b,K2-81,b,Transit,1,6.1023250000000004,0.059,0.002,-0.002,0.06,0,1,03h49m56.52s,+14d30m07.9s,57.485489,14.5022,254.14,14.364,V (Johnson),13.904,4674.13,140.71,-131.16,0.75,0.07,-0.07,0.63,0.04,-0.03,0,NA,62.9,NA,NA,NA,NA,1.97,0.13,-0.11,NA,NA,NA,2016,3,254.14,NA,NA,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2017-10-26,NA,NA,1.97,1.97
K2-83 b,K2-83,b,Transit,2,2.74697,0.03014,4.1e-4,-4.1e-4,NA,0,1,03h59m36.37s,+15d33m32.0s,59.901562,15.558886,125.98,14.514,V (Johnson),13.804,3910,49,-49,0.48,0.02,-0.02,0.42,0.02,-0.02,0,NA,41.5,NA,NA,NA,NA,1.244,0.098,-0.098,NA,0.0693333,NA,2016,3,125.98,NA,4.86,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2016-07-18,NA,NA,1.244,1.244
K2-83 c,K2-83,c,Transit,2,9.99767,0.07131,9.6e-4,-9.6e-4,NA,0,1,03h59m36.37s,+15d33m32.0s,59.901562,15.558886,125.98,14.514,V (Johnson),13.804,3910,49,-49,0.48,0.02,-0.02,0.42,0.02,-0.02,0,NA,7.42,NA,NA,NA,NA,1.483,0.099,-0.099,NA,0.1154167,NA,2016,3,125.98,NA,4.86,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2016-07-18,NA,NA,1.483,1.483
